angle_deg,model,n_b,G_T_linear,p_rf_W,at_cap,acm_mode,bits_per_beam_step_bit,bits_per_user_step_bit,energy_per_step_J,ee_bit_per_J
0.044266667,a-r0,2,1999.046607255,0.509493804447,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.309842883,21099041.815206
0.044266667,a-r0,4,1999.046607255,1.380825845311,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.869026556,25172585.362906
0.044266667,b0,1,1999.046607255,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.047033333,a-r0,1,1998.923738941,0.317808567944,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.854225058,16145511.197414
0.047033333,a-r0,2,1998.923738941,0.509525121622,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.314149420,21098460.525468
0.047033333,a-r0,4,1998.923738941,1.380910720857,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.876116262,25171862.465010
0.047033333,b0,1,1998.923738941,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.049800000,a-r0,1,1998.793431542,0.317829286847,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.857832494,16145052.070063
0.049800000,a-r0,2,1998.793431542,0.509558339108,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.318717131,21097844.017865
0.049800000,a-r0,4,1998.793431542,1.381000746611,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.883635930,25171095.771659
0.049800000,b0,1,1998.793431542,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.052566667,a-r0,1,1998.655686375,0.317851191294,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.861646221,16144566.715930
0.052566667,a-r0,2,1998.655686375,0.509593457312,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.323546047,21097192.294481
0.052566667,a-r0,4,1998.655686375,1.381095923674,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.891585609,25170285.285770
0.052566667,b0,1,1998.655686375,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.055333333,a-r0,1,1998.510504835,0.317874281554,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.865666265,16144055.136526
0.055333333,a-r0,2,1998.510504835,0.509630476664,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.328636199,21096505.357521
0.055333333,a-r0,4,1998.510504835,1.381196253210,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.899965354,25169431.010428
0.055333333,b0,1,1998.510504835,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.058100000,a-r0,1,1998.357888392,0.317898557907,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.869892651,16143517.333445
0.058100000,a-r0,2,1998.357888392,0.509669397615,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.333987622,21095783.209307
0.058100000,a-r0,4,1998.357888392,1.381301736448,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.908775218,25168532.948886
0.058100000,b0,1,1998.357888392,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.060866667,a-r0,1,1998.197838590,0.317924020651,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.874325409,16142953.308360
0.060866667,a-r0,2,1998.197838590,0.509710220643,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.339600350,21095025.852284
0.060866667,a-r0,4,1998.197838590,1.381412374676,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.918015261,25167591.104561
0.060866667,b0,1,1998.197838590,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.063633333,a-r0,1,1998.030357051,0.317950670098,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.878964568,16142363.063029
0.063633333,a-r0,2,1998.030357051,0.509752946246,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.345474421,21094233.289011
0.063633333,a-r0,4,1998.030357051,1.381528169248,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.927685545,25166605.481038
0.063633333,b0,1,1998.030357051,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.066400000,a-r0,1,1997.855445468,0.317978506574,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.883810157,16141746.599287
0.066400000,a-r0,2,1997.855445468,0.509797574948,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.351609874,21093405.522169
0.066400000,a-r0,4,1997.855445468,1.381649121582,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.937786132,25165576.082069
0.066400000,b0,1,1997.855445468,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.069166667,a-r0,1,1997.673105613,0.318007530419,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.888862211,16141103.919056
0.069166667,a-r0,2,1997.673105613,0.509844107294,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.358006750,21092542.554559
0.069166667,a-r0,4,1997.673105613,1.381775233156,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.948317091,25164502.911572
0.069166667,b0,1,1997.673105613,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.071933333,a-r0,1,1997.483339331,0.318037741989,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.894120761,16140435.024336
0.071933333,a-r0,2,1997.483339331,0.509892543853,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.364665091,21091644.389098
0.071933333,a-r0,4,1997.483339331,1.381906505515,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.959278491,25163385.973632
