arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082916,100,10,300.8,6257440680867.354,87212.92012108817,71749010.03405684,289.9365695514899,20802661837.989872,1000,1000,1.0,0,0,696609403.9954973,-260.5,-2946.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082917,100,10,300.8,6649821867180.104,105663.31056339448,62934067.00701878,351.27430373468906,22107120569.08279,1000,1000,1.0,0,0,605057559.475435,-244.0,-2404.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082918,100,10,300.8,9089284608543.15,116995.45816970582,77689209.05766137,388.94766678758583,30217036597.550365,997,1000,0.997,0,0,756688183.1029284,-266.5,-2113.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082914,120,10,300.8,6648341712550.725,101064.28646639749,65783294.42578322,335.9849949015874,22102199842.256397,1196,1200,0.9966666666666667,0,0,631100199.1125377,-260.0,-3712.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082915,120,10,300.8,6427718280710.638,101676.17818576004,63217544.122944355,338.0192093941491,21368744284.277386,1192,1200,0.9933333333333333,0,0,575205967.0631732,-298.5,-3788.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082916,120,10,300.8,6754288743351.997,98010.94865311489,68913614.61317046,325.8342707882809,22454417364.867012,1199,1200,0.9991666666666666,0,0,664893045.0200325,-306.0,-3677.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082917,120,10,300.8,7193990453594.341,118454.13217039136,60732287.863508925,393.7969819494393,23916191667.534378,1200,1200,1.0,0,0,580374587.8873014,-303.5,-3062.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082918,120,10,300.8,9570943456112.64,128287.03551942305,74605695.09117365,426.4861553172309,31818296064.204258,1196,1200,0.9966666666666667,0,0,728757802.7448754,-303.5,-2772.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082914,140,10,300.8,7087166770075.764,107641.4976834587,65840469.73145052,357.8507236817111,23561059740.943363,1396,1400,0.9971428571428571,0,0,628922690.950595,-310.5,-4866.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082915,140,10,300.8,6614212500295.55,106296.63225744439,62224102.11714237,353.3797614941635,21988738365.344246,1389,1400,0.9921428571428571,0,0,564720842.4105103,-351.5,-4925.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082916,140,10,300.8,7614338957486.547,113521.24833347321,67074129.903144844,377.39776706606784,25313626853.346233,1399,1400,0.9992857142857143,0,0,647619668.3034037,-357.5,-4435.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082917,140,10,300.8,7588496809452.677,132323.16233757918,57348212.32652462,439.9041301116329,25227715456.957035,1400,1400,1.0,0,0,551898179.1234865,-348.0,-3796.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082918,140,10,300.8,10116183203952.127,138080.34227200985,73263022.36435555,459.0436910638625,33630928204.62808,1394,1400,0.9957142857142857,0,0,709237242.6079845,-366.5,-3730.0
