arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082904,80,10,300.8,7482019605838.243,94733.4644664367,78979689.4685411,314.93837921022833,24873735391.749477,800,800,1.0,0,0,749199840.7438707,-229.0,-1742.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082905,80,10,300.8,7272441349715.521,90770.73373691126,80118789.94824336,301.7644073700507,24176999167.937237,799,800,0.99875,0,0,769228092.6894367,-205.0,-1725.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082906,80,10,300.8,9065419779852.65,96586.40188684738,93858137.40605997,321.09841052808304,30137698736.21227,798,800,0.9975,0,0,902324688.8236867,-232.0,-1640.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082907,80,10,300.8,7318504383835.857,91095.09690094762,80339168.98725782,302.8427423568737,24330134254.77346,798,800,0.9975,0,0,772681737.6682775,-226.5,-1842.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082908,80,10,300.8,7582790598313.885,96106.46720699438,78899899.44154382,319.502883001976,25208745340.139244,800,800,1.0,0,0,748821597.3925184,-203.5,-1730.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082904,100,10,300.8,7874985014434.867,101192.10658929305,77822127.43526484,336.409928820788,26180136351.179745,1000,1000,1.0,0,0,738045805.8429364,-305.0,-2732.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082905,100,10,300.8,7713733323600.023,100212.04866021241,76974110.66562335,333.15175751400403,25644060251.329865,999,1000,0.999,0,0,741213977.5836061,-252.5,-2579.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082906,100,10,300.8,10429647289146.693,110826.44795639244,94107927.13712624,368.4389892167302,34673029551.68449,998,1000,0.998,0,0,907300438.6409637,-280.0,-2270.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082907,100,10,300.8,8266137084241.273,102683.89648508308,80500812.36878362,341.3693367190262,27480508923.674446,998,1000,0.998,0,0,776626474.4474087,-297.0,-2744.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082908,100,10,300.8,8138494055934.218,104488.51493954883,77888886.26317152,347.36873317669153,27056163749.781307,1000,1000,1.0,0,0,738741396.9639454,-267.0,-2592.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082904,120,10,300.8,8559346322793.999,112665.0701540279,75971606.02742493,374.5514300333374,28455273679.501324,1200,1200,1.0,0,0,717155549.3402112,-370.5,-3414.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082905,120,10,300.8,8515143047481.308,108394.4700521445,78556987.67091155,360.353956290374,28308321301.467113,1199,1200,0.9991666666666666,0,0,748524848.0774556,-310.0,-3605.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082906,120,10,300.8,10748078436659.906,118319.93328615653,90839118.46591139,393.35084204174376,35731643738.895966,1198,1200,0.9983333333333333,0,0,878628889.4057691,-347.0,-3232.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082907,120,10,300.8,9440685165830.395,121360.85738529474,77790198.33271481,403.4602971585596,31385256535.340405,1197,1200,0.9975,0,0,750711586.8084651,-342.0,-3393.0
